id,scan_t1ce,scan_t2,scan_flair,scan_t1,label,center_x,center_y,center_z,x_extreme_min,x_extreme_max,y_extreme_min,y_extreme_max,z_extreme_min,z_extreme_max,x_size,y_size,z_size
00172-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00172-000/BraTS-GLI-00172-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00172-000/BraTS-GLI-00172-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00172-000/BraTS-GLI-00172-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00172-000/BraTS-GLI-00172-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00172-000/BraTS-GLI-00172-000-seg.nii.gz,159,141,68,109,187,93,189,32,101,78,96,69
01353-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01353-000/BraTS-GLI-01353-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01353-000/BraTS-GLI-01353-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01353-000/BraTS-GLI-01353-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01353-000/BraTS-GLI-01353-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01353-000/BraTS-GLI-01353-000-seg.nii.gz,151,115,56,128,172,67,151,31,81,44,84,50
00513-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00513-000/BraTS-GLI-00513-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00513-000/BraTS-GLI-00513-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00513-000/BraTS-GLI-00513-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00513-000/BraTS-GLI-00513-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00513-000/BraTS-GLI-00513-000-seg.nii.gz,88,112,64,53,130,70,159,25,104,77,89,79
01425-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01425-000/BraTS-GLI-01425-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01425-000/BraTS-GLI-01425-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01425-000/BraTS-GLI-01425-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01425-000/BraTS-GLI-01425-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01425-000/BraTS-GLI-01425-000-seg.nii.gz,133,85,90,82,174,43,131,56,136,92,88,80
01382-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01382-000/BraTS-GLI-01382-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01382-000/BraTS-GLI-01382-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01382-000/BraTS-GLI-01382-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01382-000/BraTS-GLI-01382-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01382-000/BraTS-GLI-01382-000-seg.nii.gz,91,143,65,70,118,111,173,36,97,48,62,61
00604-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00604-000/BraTS-GLI-00604-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00604-000/BraTS-GLI-00604-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00604-000/BraTS-GLI-00604-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00604-000/BraTS-GLI-00604-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00604-000/BraTS-GLI-00604-000-seg.nii.gz,102,100,110,70,141,59,139,81,142,71,80,61
00021-001,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00021-001/BraTS-GLI-00021-001-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00021-001/BraTS-GLI-00021-001-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00021-001/BraTS-GLI-00021-001-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00021-001/BraTS-GLI-00021-001-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00021-001/BraTS-GLI-00021-001-seg.nii.gz,108,106,70,71,161,66,160,35,109,90,94,74
00518-001,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00518-001/BraTS-GLI-00518-001-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00518-001/BraTS-GLI-00518-001-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00518-001/BraTS-GLI-00518-001-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00518-001/BraTS-GLI-00518-001-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00518-001/BraTS-GLI-00518-001-seg.nii.gz,153,107,85,129,177,75,141,59,111,48,66,52
00839-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00839-000/BraTS-GLI-00839-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00839-000/BraTS-GLI-00839-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00839-000/BraTS-GLI-00839-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00839-000/BraTS-GLI-00839-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00839-000/BraTS-GLI-00839-000-seg.nii.gz,104,185,73,91,117,168,205,53,97,26,37,44
01092-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01092-000/BraTS-GLI-01092-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01092-000/BraTS-GLI-01092-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01092-000/BraTS-GLI-01092-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01092-000/BraTS-GLI-01092-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01092-000/BraTS-GLI-01092-000-seg.nii.gz,140,103,87,108,168,59,149,53,127,60,90,74
00750-001,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00750-001/BraTS-GLI-00750-001-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00750-001/BraTS-GLI-00750-001-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00750-001/BraTS-GLI-00750-001-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00750-001/BraTS-GLI-00750-001-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00750-001/BraTS-GLI-00750-001-seg.nii.gz,96,163,93,71,123,123,209,62,132,52,86,70
01354-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01354-000/BraTS-GLI-01354-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01354-000/BraTS-GLI-01354-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01354-000/BraTS-GLI-01354-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01354-000/BraTS-GLI-01354-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01354-000/BraTS-GLI-01354-000-seg.nii.gz,160,141,86,121,183,101,188,56,121,62,87,65
01385-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01385-000/BraTS-GLI-01385-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01385-000/BraTS-GLI-01385-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01385-000/BraTS-GLI-01385-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01385-000/BraTS-GLI-01385-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01385-000/BraTS-GLI-01385-000-seg.nii.gz,96,86,88,64,136,48,126,46,134,72,78,88
01422-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01422-000/BraTS-GLI-01422-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01422-000/BraTS-GLI-01422-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01422-000/BraTS-GLI-01422-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01422-000/BraTS-GLI-01422-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01422-000/BraTS-GLI-01422-000-seg.nii.gz,156,109,107,141,175,89,128,89,132,34,39,43
00262-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00262-000/BraTS-GLI-00262-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00262-000/BraTS-GLI-00262-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00262-000/BraTS-GLI-00262-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00262-000/BraTS-GLI-00262-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00262-000/BraTS-GLI-00262-000-seg.nii.gz,167,129,54,149,182,107,151,40,69,33,44,29
00608-001,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00608-001/BraTS-GLI-00608-001-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00608-001/BraTS-GLI-00608-001-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00608-001/BraTS-GLI-00608-001-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00608-001/BraTS-GLI-00608-001-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00608-001/BraTS-GLI-00608-001-seg.nii.gz,81,125,86,55,116,88,166,55,117,61,78,62
00109-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00109-000/BraTS-GLI-00109-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00109-000/BraTS-GLI-00109-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00109-000/BraTS-GLI-00109-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00109-000/BraTS-GLI-00109-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00109-000/BraTS-GLI-00109-000-seg.nii.gz,153,144,95,125,184,97,190,61,135,59,93,74
00346-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00346-000/BraTS-GLI-00346-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00346-000/BraTS-GLI-00346-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00346-000/BraTS-GLI-00346-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00346-000/BraTS-GLI-00346-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00346-000/BraTS-GLI-00346-000-seg.nii.gz,156,131,100,135,178,112,159,79,127,43,47,48
01167-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01167-000/BraTS-GLI-01167-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01167-000/BraTS-GLI-01167-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01167-000/BraTS-GLI-01167-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01167-000/BraTS-GLI-01167-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01167-000/BraTS-GLI-01167-000-seg.nii.gz,153,148,87,121,180,102,198,40,121,59,96,81
00397-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00397-000/BraTS-GLI-00397-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00397-000/BraTS-GLI-00397-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00397-000/BraTS-GLI-00397-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00397-000/BraTS-GLI-00397-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00397-000/BraTS-GLI-00397-000-seg.nii.gz,92,150,83,60,139,104,198,44,124,79,94,80
01270-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01270-000/BraTS-GLI-01270-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01270-000/BraTS-GLI-01270-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01270-000/BraTS-GLI-01270-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01270-000/BraTS-GLI-01270-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01270-000/BraTS-GLI-01270-000-seg.nii.gz,143,99,78,105,175,53,147,32,125,70,94,93
00498-001,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00498-001/BraTS-GLI-00498-001-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00498-001/BraTS-GLI-00498-001-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00498-001/BraTS-GLI-00498-001-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00498-001/BraTS-GLI-00498-001-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00498-001/BraTS-GLI-00498-001-seg.nii.gz,157,117,63,127,187,84,166,39,96,60,82,57
00493-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00493-000/BraTS-GLI-00493-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00493-000/BraTS-GLI-00493-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00493-000/BraTS-GLI-00493-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00493-000/BraTS-GLI-00493-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00493-000/BraTS-GLI-00493-000-seg.nii.gz,132,124,69,97,162,105,145,53,94,65,40,41
